Description,Bathrooms,Bedrooms,Car Spaces,Floor area (m²),Land Size (m²),Subdivision or Location,Price,Category
Commercial Space Townhouse for sale in Cubao Quezon City 2 Car Garage Parking,0,0,2,160.59,63.06,None,13000000,Commercial
New 2 Parkings Commercial Townhouse for sale in Project 4 Cubao Quezon City,4,4,2,160.59,63,None,13000000,House
Commercial Building Office 2 Car Garage Townhouse for sale in Cubao Quezon City,0,0,2,160.59,63.06,None,13000000,Commercial
Foreclosed House & Lot in Town & Country For Sale near De La Salle - Dasmarinas,0,1,0,597.6,580,None,12907500,House
"900 sqm Commercial Lot located at Jake Gonzales Blvd, Angeles, Pampanga for Sale",0,0,0,0,900,None,60000000,Land
"Modern Type Townhouse for sale In Pilar Village, Las Pinas City",3,3,1,135,92,None,9500000,House
"Studio Unit Fully Furnished for Sale in Viceroy Residences, Taguig",1,1,0,23,0,Viceroy,3900000,Condominium
New Commercial 4 Bedroom Townhouse for sale in Project 4 Cubao Quezon City New,0,0,2,160.59,63.06,None,13000000,Commercial
Commercial Townhouse for sale in Project 4 Cubao Quezon City 2 Parking Garage,0,0,2,160.59,63,None,13000000,Commercial
Commercial property with passive income for Sale in Mandaluyong City - LA346,0,0,0,346,0,None,55360000,Commercial
Brand New American Themed Two Storey House For Sale in San Fernando Pampanga,5,4,2,275,318,None,21000000,House
"327 SQM Clean Titled Lot, 3-4 minutes walk to Burnham Park",0,0,0,0,327,None,3800000,Land
"600 SQM Clean Titled, Commercial Property near Igorot Stone Kingdom",0,0,0,0,600,None,3000000,Land
"5 storey building for sale at Comembo, Makati City , Metro Manila",5,5,0,1400,292,None,30000000,Commercial
4BR Brand New RFO House and Lot for sale in Sun Valley Estates & Golf Club,4,4,0,255,440,None,20000000,House
"500 SQM Clean Titled Lot beside Selendra Condominium, Baguio City!",0,0,0,0,500,None,2500000,Land
Farm land for sale at Padre Garcia Batangas 5.5 hectars,0,0,0,0,55737,None,78800000,Land
Pre-Selling - 2BR Unit 67sqm - Fully Finished For Sale in Mandaluyong,2,2,0,67.3,0,Weecomm Centre,11032280.59,Condominium
"Brandnew Ready For Occupancy House and Lot For Sale in Dasmarinas, Cavite",2,3,2,284,150,None,9850000,House
Smart Homes Condo in Cebu Walking Distance from Dusit Thani Hotel,1,1,0,41.5,0,Amisa Private Residences ,8730355,Condominium
Pre-Selling- Loftable unit with balcony view of Antipolo Mountain for sale,1,1,0,22,0,Jacinta Enclaves,3124000,Condominium
"Good Buy! Huge Prime Commercial Lot for Sale Quezon City Nr. Gilmore, Greenhills",0,0,0,0,1695,None,305100000,Land
"180k per sqm Prime Commercial Lot for Sale in Quezon City Nr. Greenhills,Gilmore",0,0,0,0,1695,None,305100000,Land
"3 Bedroom with Balcony For Sale in Cityland Pasong Tamo Tower, Makati City",3,3,0,116.9,0,Cityland Pasong Tamo Tower,13800000,Condominium
4 Bedrooms House and Lot in Las Pinas City at Portofino Heights!,4,4,2,350,490,None,49500000,House
"Daang Hari 2-Storey House and Lot for Sale in Las Pinas City, Portofino Heights",4,4,2,350,490,None,49500000,House
Portofino Heights House and Lot for Sale in Las Pinas City,4,4,2,350,490,None,49500000,House
"One Bedroom Condominium for Sale in Kai Residences, Mandaluyong",1,1,0,36,0,Kai Garden Residences,4500000,Condominium
FOR SALE: PRIME Commercial Ground Floor Unit in Makati,0,0,0,0,173.4,None,69360000,Commercial
"Townhouse, 3BR, 2T&B,1 Carport For Sale at Amaia Series Novaliches, Quezon City",2,3,1,59.86,60,None,3800000,House
"5BR House for Sale in Urdaneta Village, Makati - RS4333382",5,5,2,800,1065,None,449999999,House
For Sale Brand New High Ceiling House and Lot in BF Resort Las Pinas,3,4,2,167.5,125,None,10500000,House
"For Sale Single Attach House near PUP in Amaia Scapes Bulacan, Santa Maria",2,3,1,60,80,None,4200000,House
Single Attached 2 Bedrooms House and Lot For Sale in San Fernando Pampanga,2,2,1,73,70,None,3038229,House
4 Bedrooms Alexandra RFO House and Lot For Sale in San Fernando Pampanga,3,4,2,189,187,None,6256230,House
"Preselling: Studio Condo unit for sale in Megatower 7, Baguio City",1,1,0,24,0,Megatower Residences 7,3500000,Condominium
"Fully Furnished 1-Bedroom Condo for Sale in Two Serandra, BGC, Taguig",1,1,1,56,0,Two Serendra,15500000,Condominium
Brand new 2 story house and lot in pilar village Las Pinas city,3,3,1,120,80,None,7000000,House
"Private Beach House for sale in Island of garden Samal, Samal",2,1,0,200,759,None,18000000,House
"Smooth and Fine Sand Beach Front Lot for Sale in Buguey, Cagayan Valley",0,0,1,0,155,None,232500,Land
"Gorgeous Brand New House in Verdana Homes, Molino IV, Bacoor, Cavite",4,4,2,250,200,None,28000000,House
FS: 4BR House & Lot at Avida Woodhill Settings Nuvali.,3,4,2,296,192,None,18500000,House
"EDSA Commercial Building For Sale in  Guadalupe Nuevo, Makati City",0,0,0,5345,1196,None,700000000,Commercial
"Commercial/Residence Retail Located in Amaia Square Nova, Quezon CIty For Sale",0,0,0,89,45,None,6700000,Commercial
"Affordable 2 Bedroom House & Lot, Sta. Maria Bulacan. 45mins away from Manila",1,2,1,40.7,80,None,2200000,House
2 Bedroom For Sale in Lpl Suites at Greenbelt Makati,3,2,0,135,0,LPL Suites,28000000,Condominium
"Pre Selling Studio Unit at Empire East Highland City, Cainta, Rizal",1,1,0,21.38,0,Empire East Highland City,2000000,Condominium
"Overlooking Seaview House for Sale in Bulacao, Talisay City, Cebu",5,4,0,240,176,None,18000000,House
"Brand New Studio Condo Unit for Sale in Baseline Premier, Cebu City",1,1,0,24,0,None,3800000,Condominium
3 Bedroom Single Attached House near De la Salle Dasmarinas,2,3,0,63,100,None,6326402.29,House
5 Door Apartment for Sale in Las Pinas,5,5,0,200,0,None,5500000,Apartment
"Brand New 4 Bedroom Penthouse Duplex Unit Condo for Sale in Brio Tower, Makati",3,4,0,230,0,Brio Tower,55000000,Condominium
Condo for Sale in Makati City at Brio Tower!,3,4,4,230,0,Brio Tower,55000000,Condominium
Makati City Condo for Sale in Brio Tower Penthouse Duplex Unit,3,4,4,230,0,Brio Tower,55000000,Condominium
"499 sqm Residential Lot for Sale in Silang, Cavite South Forbes Phuket Nr. CALAX",0,0,0,0,499,None,21457000,Land
"Semi furnished 4 Bedroom Modern House for Sale in Mckinley Hill Village, Taguig",5,4,4,450,198,None,85000000,House
Mckinley Hill Village 4 Bedroom Modern House for Sale with pool in Taguig,5,4,4,450,198,None,85000000,House
Mckinley Hill Village Prime Modern House for Sale with 4 Bedroom in Taguig,5,4,0,450,198,None,85000000,House
"House and Lot for Sale at Mckinley Hill Village, Taguig City",5,4,4,450,198,None,85000000,House
"Quezon City House for Sale in Tivoli Royale,Brand New 4 Bedroom Nr.Batasan Hills",5,4,4,850,364,None,95000000,House
For Sale Premier and Classic 4Bedroom House and Lot in Capitol Hills Quezon City,5,4,4,390,896,None,140000000,House
"150 sqm Residential Lot in Pililla, Rizal For Sale",0,0,0,0,150,None,1275000,Land
"231 sqm Residential Lot for Sale Located in Marquee Place Angeles City, Pampanga",0,0,0,0,231,None,6000000,Land
"38k per sqm Corner Lot For Sale in Silang, Cavite, South Forbes Bali Mansion",0,0,0,0,315,None,11970000,Land
For Sale: 1-BR Premium Unit at Twin Oaks Place Mandaluyong City,1,1,1,47,0,Twin Oaks Place,9000000,Condominium
"The Florence 3 Bedroom 3BR Condo For Sale in McKinley Hill, Taguig Nr. BGC",2,3,1,94.7,0,The Florence,23000000,Condominium
Colinas Verdes TR Lot Perimeter ciudad real affordable near Gate 2 SJDM Bulacan,0,0,0,0,130,None,1990000,Land
Vista Real Classica Newly Renovated House And Lot,4,4,0,400,300,None,43000000,House
2 Bedroom Single Attached House for sale in Antipolo near Robinsons Mall,1,2,1,61,70,None,4326800,House
For Sale Furnished Studio Type Condominium Unit for Sale Located In IT Park,1,1,0,22,0,Avida Towers Riala,3500000,Condominium
544 sqm Residential Lot Located in Betterliving Paranaque at 25k/sqm for Sale,0,0,0,0,544,None,13600000,Land
Brand New Whole Floor Office Space For Sale in Alveo Financial Tower Makati City,0,0,0,1271,0,None,355880000,Commercial
"Rush! Residential Lot for Sale in Laguna Bel Air 3, Binan City, Laguna",0,0,0,0,144,None,2350000,Land
BGC The Suites At One Bonifacio High Street 2 Bedroom Condo For Sale Taguig,2,2,0,136,0,THE SUITES,65000000,Condominium
"House For Sale near in Metro Manila Single Family House at Filinvest, Cainta",2,3,1,62,96,None,6313700,House
Near Hilltop Market Residential Lot for sale in Baguio City,0,0,0,0,406,None,8000000,Land
"For Sale 1 Bedroom Condominium in Quezon City, Amaia Steps The Junction Place",1,1,1,23,0,Amaia Steps The Junction Place,3400000,Condominium
"For sale Residential Lot (Hig End) in Talamban, Cebu (by Aboitiz Land)",0,0,0,0,841,None,25344000,Land
"Brand New Beach House for Sale in Danao City, Cebu",2,2,2,155,219,None,9500000,House
For Sale 700 sqm Commercial Lot in Marikina near Sports Center & City Hall,0,0,0,0,700,None,48000000,Land
"For Sale Newly built 4 Bedrooms House with 4 Toilet and Bath, Silang",4,4,0,178.7,256,None,10000000,House
"For Sale 204sqm Residential/Commercial Lot near 7-11 EDSA Guadalupe, Makati",0,0,0,0,204,None,40800000,Land
Ayala Heights 5 Bedroom House and Lot for Sale with Swimming Pool in Quezon City,5,5,4,820,480,None,160000000,House
"Semi furnished Newly Built 5 Bedroom Modern House for Sale in Ayala Heights, QC!",5,5,4,820,480,None,160000000,House
"3,001 sqm. Factory/Warehouse for Sale (PEZA) in Tanza, Cavite",0,0,0,3001,4873,None,135000000,Commercial
2BR Luxury Condo Unit for Sale at Cornell Parksuites in Binondo Manila | 91.40 sqm,3,2,0,91.4,0,Cornell Parksuites,14600000,Condominium
"The Arton West 27 sqm Studio Unit For Sale in Katipunan, Quezon City",1,1,0,27,0,The Arton West,7000000,Condominium
"Good Deal Commercial Lot for Sale in Main Ave, Cubao near EDSA and SM Cubao",0,0,0,0,300,None,40000000,Land
Cubao Commercial Lot for Sale near EDSA and SM Cubao,0,0,0,0,300,None,40000000,Land
Trump Tower Spacious 1 Bedroom Unit With Parking And Unobstructed View For Sale,1,1,0,66.19,0,Trump Tower,18000000,Condominium
Trump Tower 1BR unit with Parking for Sale with Unobstructed View Makati,1,1,0,66.19,0,Trump Tower,18000000,Condominium
Vermont Park | 2 Bedroom Townhouse for Sale in Antipolo City,4,4,2,180,100,None,9800000,House
Bohol lot for sale in near Garcia Park in Talibon  350/sqm,0,0,0,0,10000,None,3500000,Land
"Rare Huge Commercial Lot for Sale in Sta Mesa, Manila Near Gilmore Ave & SM",0,0,0,0,3179,None,500000000,Land
"Commercial/Residential Lot for Sale in Sta. Ana, Manila",0,0,0,0,914,None,118000000,Land
914.7sqm Prime Commercial/Residential with structure for sale in Sta. Ana Manila,0,0,0,0,914.7,None,118000000,Land
"Two Storey House with Swimming Pool For Sale in San Fernando, Pampanga",6,4,5,800,1000,None,40000000,House
"For Sale 3 Bedroom Duplex with overlooking view of Metro Manila Skyline, Taytay",2,3,2,136.07,85.5,None,6985000,House
"Brand New House and Lot For Sale Prime Location, Las Pinas City",2,3,1,117,67,None,7126000,House
No Downpayment Fully Furnish Condominuim,1,1,0,32,0,Deo City Condominuim,1700000,Condominium
Rice Mill For Sale in Bulacan - income generating from tenant,0,0,0,1700,1788,None,70000000,Commercial
"Fully furnished 3 Bedroom Townhouse for Sale in Anvaya Cove Morong, Bataan",3,3,1,167,100,None,24000000,House
"3 Bedroom House For Sale at Solaya Residence, Lipa, Batangas",2,3,2,57,97,None,4508640,House
"For Sale 231 sqm Residential/Commercial Lot near Fuente and Capitol, Cebu",0,0,0,0,231,None,15000000,Land
Affordable Townhouse for Sale - Near SM Southmall Las Pinas City,3,3,1,114,88,None,6200000,House
"For Sale Spacious, Classic House in Filinvest Homes East, Cainta, Rizal",5,5,4,600,652,None,35000000,House
"PVT2022-0016: Vacant Lot for Sale in Paliparan I, Dasmarinas",0,0,0,0,140,None,2100000,Land
"PVT2022-0014: Agricultural Lot for Sale in Gulibay, Bauan",0,0,0,0,13955,None,18000000,Land
"House and Lot for Sale in Bacoor, Cavite at Verdana Homes!",3,4,2,300,230,None,34000000,House
"Bacoor, Cavite House and Lot for Sale in Verdana Homes 4 Bedroom 4BR",3,4,2,300,230,None,34000000,House
Bel Air 2 | 3 Bedroom House and Lot for Sale in Makati City,3,3,0,300,512,None,240000000,House
"MSG-19-0108: Foreclosed Res'l lot with impv't for Sale in Santo Nino, Binan",0,0,0,0,96,None,3640000,Land
"MSG-19-0107: Foreclosed Res'l lot with impv't for Sale in Anabu II-A, Imus",0,0,0,0,126,None,3440000,Land
"Luxury Duplex Type House and Lot for sale in Baguio City, Benguet",12,11,0,2000,1069,None,95000000,House
"East Gallery Place Brand New 2 Bedroom 2BR Corner Unit Condo for Sale BGC,Taguig",2,2,0,148,0,East Gallery Place,55000000,Condominium
"180 square meters Residential Lot for Sale in Malolos, Bulacan",0,0,0,0,180,None,5580000,Land
For Sale Mixed-use Lot - Mendez Tagaytay,0,0,0,0,1128.34,None,16500000,Land
rfo 4 bedroom house and lot for sale - las pinas city,3,4,1,92,86,None,5830000,House
Affordable RFO 2 bedroom Townhouse for Sale - Las Pinas City,2,2,1,54,51,None,4899000,House
The Residences At Greenbelt (Trag) San Lorenzo Tower 2 Bedroom Good Deal,2.5,2,1,123,0,The Residences at Greenbelt,35000000,Condominium
"Grand Modern 5BR Unit for Sale in Grand Hyatt Residences, Taguig City!",4,5,0,300,0,Grand Hyatt Residences,150000000,Condominium
"2 Bedroom Unit For Sale at Amaia Steps The Junction Place, Quezon City",1,2,0,45.47,0,Amaia Steps The Junction Place,5800000,Condominium
For Sale STUDIO UNIT in Amaia Steps The  Junction Place,1,1,0,23.83,0,Amaia Steps The Junction Place,3400000,Condominium
"3 Bedroom Condo for Sale in Cubao, Quezon City - The Orabella by DMCI Homes",2,3,0,84,0,The Orabella,8251000,Condominium
3 Bedrooms Single Attach House For Sale In Amaia Scapes Bulacan near Phil.Arena,3,3,2,80,100,None,5400000,House
"Modern 4 Bedrooms Townhouse for Sale - BF Resort, Las Pinas City",4,4,2,260,140,None,20000000,House
"Ready for occupancy condominium near UP, Ateneo and Miriam College Quezon City",1,1,0,28,0,Primehomes Capitol Hills,4300000,Condominium
Tagaytay Southridge Estates Lot For Sale,0,0,0,0,267,None,6200000,Land
"3 years to pay Residential Lot for Sale near Lime & Basil, Tagaytay",0,0,0,0,150,None,1200000,Land
Preselling Single Attached House w/ Complete Finished Turnover at Santa Maria,2,3,2,60,80,None,4200000,House
"6000 sqm. Farm lot for sale near Tagaytay, Cahil, Calaca, Batangas",0,0,0,0,6000,None,9000000,Land
"For Sale 3 Storey House and Lot  in Quezon City, Amaia Square Novaliches",3,2,0,89,71,None,7000000,House
Commercial/Residential/Industrial Lot For Sale in Bacoor Cavite. Near Aguinaldo,0,0,0,0,750,None,22500000,Land
Residential Lot For Sale in South Forbes Villas Silang Cavite. Near Nuvali,0,0,0,0,150,None,5250000,Land
Ready For Occupancy House For Sale in Dasmarinas Cavite. Near La Salle Cavite,3,3,1,110,120,None,8520000,House
Dasmarinas Cavite Brand New House For Sale. near La Salle Dasmarinas,3,3,1,117,119,None,7388000,House
Brand New House For Sale in Dasmarinas Cavite. Inside Exclusive Subdivision,3,4,2,129,155,None,12395000,House
Brand New House For Sale in Dasmarinas Cavite.  Near La Salle Dasmarinas Cavite,3,4,1,121,120,None,7825000,House
"Corner Lot for Sale in Beverly Hills Subdivision, Antipolo, Rizal",0,0,0,0,769,None,9000000,Land
"Elegant 5 Bedroom Condo for Sale in Grand Hyatt Residences, BGC, Taguig",4,5,3,300,0,Grand Hyatt Residences,150000000,Condominium
"5 Bedroom Interior Decorated Condo for Sale BGC, Taguig, Grand Hyatt Residences",4,5,3,300,0,Grand Hyatt Residences,150000000,Condominium
"200 square meters Residential Lot For Sale in Tolentino East, Tagaytay City",0,0,0,0,200,None,2500000,Land
"Beach Lot Residential/Commercial for Sale in Laiya-Aplaya,  San Juan, Batangas",0,0,0,0,336,None,9200000,Land
"Lot with 2 Storey Warehouse for Sale in Mindanao Ave., Quezon City (with income)",0,0,0,1600,2085,None,219998900,Commercial
For Sale Brand New Townhouse 3-Storey in Exclusive Subdivision in Marikina,4,4,2,150,68.67,None,9000000,House
"340 sqm Commercial Lot For Sale in Marikina City, Metro Manila",0,0,0,0,340,None,19000000,Land
"1,868 sqm Residential/Commercial Lot For Sale in Antipolo City",0,0,0,0,1868,None,15800000,Land
For sale Lot in Alfonso Cavite-Free Transfer to Buyer- 3 yrs to Pay No Interest,0,0,0,0,200,None,1300000,Land
For Sale 5 years to Pay- Free Transfer to Buyer Lot 5km to Tagaytay Bypass Road,0,0,0,0,185,None,1202500,Land
Lots for Sale-50 Meters Away to Tagaytay Bypass Road 200 sqm Installment,0,0,0,0,200,None,1200000,Land
500 Sqm Gated Farm Lot With Security 5km To Alfonso Bayan,0,0,0,0,500,None,1750000,Land
Lot For Sale -150 Sqm -3 Yrs To Pay Zero Interest near Tagaytay Bypass road,0,0,0,0,150,None,1200000,Land
"150 sqm Lot for Sale in Amadeo, Cavite- Near Savemore Amadeo",0,0,0,0,150,None,1125000,Land
150 sqm Residential Lot For Sale in Alfonso - 750m away to Tagaytay bypass road,0,0,0,0,150,None,1200000,Land
120 sqm Amadeo Residential Lot for Sale near Tagaytay City,0,0,0,0,120,None,1020000,Land
"For Sale Residential Subdivision Lot Located In Alfonso, Cavite",0,0,0,0,200,None,1400000,Land
3 Mins (1.4 Km) From Tagaytay - 150 Sqm Residential Lot In Alfonso For Sale,0,0,0,0,150,None,1200000,Land
"For Sale 150 Sq. Meters Residential Lot In Alfonso, Cavite - Php 1.2m",0,0,0,0,150,None,1200000,Land
"150sqm for Sale in Indang, Cavite 20-30 meters away from Tagaytay Bypass Road",0,0,0,0,150,None,900000,Land
"3,179 sqm Prime Commercial Lot for Sale in Sta. Mesa,Manila Nr. Greenhills",0,0,0,0,3179,None,500000000,Land
"2 bedrooms condo unit for sale in mandaluyong, the olive place",2,2,0,73,0,The Silk Residences,10924215,Condominium
"Lot For Sale at Ponderosa Leisure Farms Cool Tagaytay Weather, Silang",0,0,0,0,1001,None,9500000,Land
"Studio Condominium Unit For Sale at Silk Residences, Mandaluyong City",1,1,0,24,0,The Silk Residences,3947646,Condominium
Pharmaceutical Laboratory Warehouse For Sale 1.1 Hectares With Structures,0,0,0,7000,11000,None,500000000,Commercial
"95 square meters Lot only for sale in Pardo, Cebu City, Philippines",0,0,0,0,95,None,1300000,Land
"2 Bedroom Condo in Shaw Blvd., Pasig City - Allegra Garden Place by DMCI Homes",1,2,0,56,0,Allegra Garden Place,6675000,Condominium
Tivoli Royale 4 Bedroom Modern House and Lot for Sale in QC! Nr. Batasan Hills,5,4,4,850,364,None,95000000,House
"For Sale Almost Brand New 4BR House and Lot for Sale Tivoli Royale, Quezon City",5,4,4,850,364,None,95000000,House
TCT Residential Mini Farm Resort Bank Financing/Rent to Own,2,4,50,120,2669,None,5000000,House
Cheapest 7K Monthly 1BR NO DP Condo Pasig Cainta Rent to Own Empire East Ortigas,1,1,0,30,0,Empire East Highlands City,1700124,Condominium
Mesilo Nueva Vida along hway in Dasmarinas Cavite towards Tagaytay,0,0,0,0,150,None,1860000,Land
870 Thou Only Gated Subdivision Lot 5.6Km from Premiere Plaza- 2 to 5 yrs to Pay,0,0,0,0,150,None,870000,Land
120sqm Lot For Sale in Amadeo Cavite 3 YRS TO PAY,0,0,0,0,120,None,1020000,Land
"Free Transfer of Title - 185 Sqm Lot for Sale in Pajo, Alfonso, Cavite",0,0,0,0,185,None,1295000,Land
"5km to Tagyatay Bypass Road-5 yrs to Pay- Free Transfer to Buyer, Lot For Sale",0,0,0,0,185,None,1202500,Land
For Sale 200 sqm Lot - Free Transfer & Installment in 3 yrs to Pay Zero Interest,0,0,0,0,200,None,1300000,Land
Residential Lot For Sale 3 Mins From Tagaytay Highway - Alfonso,0,0,0,0,150,None,1200000,Land
"15% Downpayment Only, 150 sqm Residential Lot For Sale in Alfonso",0,0,0,0,150,None,1200000,Land
"For Sale Installment Lot near Tagaytay - 150 sq.m - Morning Sun, Alfonso",0,0,0,0,150,None,1200000,Land
"150 sq. meters Residential Lot for Sale near Tagaytay City, Alfonso, Cavite",0,0,0,0,150,None,1200000,Land
"212 Sq.M. Titled Residential Lot Located In Tagaytay City, Cavite For Sale",0,0,0,0,212,None,1802000,Land
"For Sale Residential Tagaytay Corner Lot - Morning Sun 150 Sq.M., Alfonso",0,0,0,0,150,None,1200000,Land
"For Sale Free Transfer Residential Lot Located In Alfonso, Cavite",0,0,0,0,200,None,1400000,Land
For Sale 3 Years To Pay Installment Residential Lot In Amadeo Cavite 120 Sq.M.,0,0,0,0,120,None,1020000,Land
Residential Lot Property For Sale In Brgy. Zambal Tagaytay City - Titled,0,0,0,0,1200,None,9000000,Land
"Free Transfer Of Title - 200 Sqm Lot For Sale Located In Alfonso, Cavite",0,0,0,0,200,None,1400000,Land
"200 Sq. Meters Residential Lot For Sale Located At Alfonso, Cavite",0,0,0,0,200,None,1400000,Land
"200 Square Meters Residential Lot For Sale Located At Alfonso, Cavite",0,0,0,0,200,None,1400000,Land
"For Sale Residential Lot 200 Sqm Lot Located At Alfonso, Cavite",0,0,0,0,200,None,1400000,Land
"For Sale Affordable Residential Lot In Alfonso, 3 Mins Away From Tagaytay",0,0,0,0,150,None,1200000,Land
"Titled Residential Lot Land Property For Sale In Brgy. Zambal, Tagaytay City",0,0,0,0,1200,None,8400000,Land
"For Sale Near Tagaytay Residential Lot - Morning Sun - 150 Sq.M, Alfonso",0,0,0,0,150,None,1125000,Land
"For Sale 150 sq.m. Residential Lot Near Tagaytay - Morning Sun, Alfonso",0,0,0,0,150,None,1200000,Land
"For Sale 1,200 Sqm Titled Lot Property In Brgy. Zambal, Tagaytay City",0,0,0,0,1200,None,9000000,Land
"120 Sqm Residential Lot For Sale Located In Bucal, Amadeo, Cavite",0,0,0,0,120,None,1020000,Land
"For Sale 212 Sqm Titled Residential Lot Located In Tagaytay City, Cavite",0,0,0,0,212,None,1802000,Land
"For Sale 2 Bedroom Condominum unit at Infina Towers North, Quezon City",1,2,0,48.5,0,Infina Towers,4900000,Condominium
Fully Furnished House For Sale in South Forbes Silang Cavite. Near Nuvali.,4,4,0,500,267,None,35000000,House
Affordable Studio Condominium unit for sale in Quezon City: Trees Residences,1,1,0,18.51,0,Trees Residences,2081000,Condominium
"4 Bedrooms House and Lot For Sale in Cainta, Rizal - Php 17M",3,4,2,250,271,None,17000000,House
"4,000 Sqm Beautiful Beach Resort For Sale in Bacong, Negros Oriental",0,0,0,0,4000,None,45000000,Commercial
"Spacious 2-Storey Townhouse For Sale in Anvaya Cove, Morong, Bataan Nr. SCTEX",3,3,1,167,100,None,24000000,House
"JMT Ortigas Commercial/Office Space For Sale. 1,229 sqm, Pasig",0,0,0,1229.21,0,None,184000000,Commercial
South Forbes Villas Residential Lot For Sale in Silang Cavite,0,0,0,0,150,None,4500000,Land
Fully Furnished 2-Bedroom W/ 1-Bathroom Single-Storey House And Lot In Maramag,1,2,0,46,95,None,1620000,House
Lot For Sale in Balete Batangas Soon To become A Venice Canal in Batangas,0,0,0,0,400,None,4000000,Land
"For Sale 2 Storey House and Lot at Ponte Verde Santo Tomas, Batangas",3,3,1,129.81,120,None,7200000,House
3-Spacious Bedroom House and Lot For Sale in UPS 5 Paranaque City,4,3,1,188,105,None,8900000,House
3 bedroom house with garden and parking,1,3,1,147,147,None,3000000,House
For Sale: Trion Towers 2 Bedroom Semi Furnished Condominium in BGC Taguig,2,2,1,58.98,0,The Trion Towers,15950000,Condominium
600 sqm Vacant Residential Lot in Saranay Homes Phase 2 in Caloocan City,0,0,0,0,600,None,7800000,Land
"For Sale 1 Bedroom Unit at The Celandine, Balingasa, Quezon City",1,1,0,27,0,The Celandine ,3600000,Condominium
"Brand New Corner Unit 2BR Condo for Sale Fort BGC,Taguig City,East Gallery Place",2,2,1,148,0,East Gallery Place,55000000,Condominium
"Brand New 3 Bedroom Condo for Sale in Proscenium Residences, Rockwell, Makati",3,3,2,224,0,The Proscenium Residences,73920000,Condominium
"Modern House For Sale in General Trias, Cavite. With view of Golf Course!",5,4,6,590,656,None,42000000,House
"175 square meters Residential Lot for Sale in Antipolo, Rizal",0,0,0,0,175,None,6332500,Land
"RFO - 2 Storey Single Detached House for sale in Talisay City, Cebu",3,4,0,167,137,None,13429426.75,House
"Titled 4 Hectares Farm Lot For Sale in Botolan, Zambales",0,0,0,0,40000,None,3500000,Land
"3 Bedroom Tandem Unit at Brixton Place for Sale in Kapitolyo, Pasig City",2,3,1,112,0,Brixton Place,15500000,Condominium
"For Sale 4 Bedroom Single Attached House and Lot in Lipa City, Batangas",3,4,0,80,100,None,4200000,House
"3,217 Sqm Caloocan Warehouse For Sale near NLEX, Pier and Subway Project",0,0,0,558.37,3217,None,150348701,Commercial
"Brand New 5 Bedroom Townhouse for Sale in Valle Verde 6, Pasig City",0,5,0,467,195,None,100000000,House
For Sale Fully Furnished 2 Bedroom Unit w/ Tandem Parking at Chimes Greenhills,2,2,2,78.76,0,Chimes Greenhills,18500000,Condominium
"Vacant Lot for Sale in Frisco, San Antonio, Quezon City",0,0,0,0,12137,None,462000000,Land
"For Sale: 1 Bedroom Unit Fully Furnished in Avida Tower’s 34’th in BGC, Taguig",1,1,0,37,0,Avida Towers 34th Street,7300000,Condominium
"Lot For Sale at Wedgewood Subdivision in Silang, Cavite",0,0,0,0,458,None,11450000,Land
"Best Rate Single Family House Located in Mckinley Hill Village, Taguig City",6,5,0,513,189,None,119000000,House
"For Sale: 2 Bedroom House & Lot Located at Amici Homes, Daang Hari, Bacoor",2,2,0,72,112,None,6500000,House
North Orchard 3 Bedrooms  House and Lot Located  in Santa Maria Bulacan for Sale,2,3,0,112.36,80,None,5182936,House
"Rare Small 188 sqm Lot for Sale at Mckinley West Village nr Global City, Taguig",0,0,0,0,188,None,63000000,Land
"For Sale Hard to Find 188sqm Small Lot in Taguig, Mckinley West Nr Mckinley Hill",0,0,0,0,188,None,63000000,Land
San Juan City 290 sq. meters Residential Lot for Sale at 90k/sqm,0,0,0,0,290,None,26100000,Land
290 sqm Residential Lot with Existing Structure for Sale in San Juan City,0,0,0,0,290,None,26100000,Land
Residential Lot at 90k/sqm for Sale in San Juan City - Php 26.1M,0,0,0,0,290,None,26100000,Land
"506 square meters Residential Lot for Sale | New Manila, Quezon City",0,0,0,0,506,None,75600000,Land
Single Family detached with 3-4 bedroom house and lot Located at Lipa City,3,4,0,150,200,None,10000000,House
Private Setting Ayala Greenfield Phase 5 Park Side Residential Land Lot for Sale,0,0,0,0,627,None,16302000,Land
Multionational Silverhomes Village Residential Land Lot for sale,0,0,0,0,205,None,7175000,Land
150sq.m Residential Lot inside Subdivision Lalaan II Silang Ready for Housing,0,0,0,0,150,None,1125000,Land
"Studio Unit For Sale in Clark, Mabalacat near Midori Hotel and Hann Casino",1,1,0,44,0,None,3200000,Condominium
"3 Bedrooms - FOR SALE in Renaissance, Pasig City",3,3,0,250,0,Renaissance Condo,20000000,Condominium
8600 sqm Warehouse Lot for Sale in Liloan Cebu,0,0,0,0,8600,None,62000000,Land
"Brand New House and Lot For Sale in La Joya Santa Rosa, Laguna",1,2,0,45,83,None,3080000,House
"Prime Corner Lot for Sale in Bel-Air, Makati City Nr. BGC, Rockwell",0,0,0,0,975,None,330000000,Land
162 sqm. Lot area preselling single attached w/ 5 bedrooms & 6 car garage in QC,4,5,6,312.68,162,None,40000000,House
"Makati Residential Lot for Sale in Urdaneta Village, Clean title near BGC",0,0,0,0,1350,None,472500000,Land
